 
                                                                                                                                                                                                                                                                
 
ticker      evtdate       car
 TECD     13JUN2006     0.01855
 TECD     15SEP2003     0.02533
 TECD     16JAN2004     0.01125
 TECD     17MAY2005     0.00948
 TECD     20NOV2003    -0.01211
 TECD     21NOV2001    -0.09288
 TECD     22AUG2007     0.11072
 TECD     24MAY2002    -0.00587
 TECD     27JUL2012     0.03479
 TECD     27NOV2001     0.10914
 TECD     29APR2005     0.02518
 TECD     29APR2014    -0.00237
 TECD     29MAR2010     0.00813
 TECD     30APR2003    -0.08080
 MSCA     04MAY2001    -0.02847
 SIGM     09JUN2010    -0.02524
 SIGM     14MAR2013     0.14892
 SIGM     30MAY2008    -0.11415
 TKLC     01MAR2007     0.02133
 TKLC     05AUG2002     0.09441
 TKLC     06JUL2001    -0.16777
 TKLC     09SEP2002    -0.05171
 TKLC     10JAN2003    -0.01440
 TKLC     14JAN2004    -0.00059
 TKLC     15MAR2004     0.03796
 TKLC     20JAN2004    -0.02642
 TKLC     23FEB2001    -0.01188
 TKLC     24OCT2002    -0.06660
 TKLC     26JAN2004    -0.02273
 TKLC     26SEP2001    -0.18391
 TKLC     27OCT2005    -0.19295
 TKLC     29AUG2003     0.00660
 LLTC     01AUG2001     0.07617
 LLTC     01AUG2013    -0.01771
 LLTC     02JAN2014    -0.00251
 LLTC     03JAN2011    -0.00862
 LLTC     02JUN2008    -0.01202
 LLTC     03NOV2009     0.01553
 LLTC     04FEB2005    -0.00385
 LLTC     04NOV2014     0.01523
 LLTC     05JAN2009     0.01491
 LLTC     06AUG2012    -0.01130
 LLTC     06JUL2010     0.03730
 LLTC     06JUN2002    -0.00406
 LLTC     06SEP2002    -0.08024
 LLTC     09SEP2002    -0.04588
 LLTC     09OCT2002     0.05464
 LLTC     10APR2014    -0.02668
 LLTC     12JUL2004     0.02706
 LLTC     11NOV2010    -0.02763
 LLTC     11SEP2003     0.02953
 LLTC     12NOV2008     0.06447
 LLTC     13OCT2008    -0.06910
 LLTC     13OCT2014    -0.00088
 LLTC     14OCT2010    -0.00002
 LLTC     15FEB2011    -0.00349
 LLTC     15JAN2002     0.05563
 LLTC     15JUL2013     0.00640
 LLTC     15NOV2002    -0.04330
 LLTC     15OCT2014     0.01511
 LLTC     16JUL2008     0.01617
 LLTC     16SEP2002    -0.04338
 LLTC     17AUG2006    -0.01432
 LLTC     17JAN2007    -0.03132
 LLTC     17JAN2012     0.08447
 LLTC     18AUG2014    -0.00353
 LLTC     18MAY2009     0.00108
 LLTC     19DEC2014     0.00867
 LLTC     20JUN2007     0.00145
 LLTC     20MAR2008     0.02420
 LLTC     21APR2004    -0.03394
 LLTC     21FEB2008     0.04534
 LLTC     21SEP2004     0.00003
 LLTC     22JUL2009     0.06999
 LLTC     23APR2007     0.01998
 LLTC     27JUN2001     0.01896
 LLTC     27MAR2008     0.00209
 AMFI     17APR2001    -0.05343
 GENZ     01JUN2010     0.01660
 GENZ     01OCT2003    -0.00954
 GENZ     02DEC2002     0.13675
 GENZ     02JAN2002    -0.11748
 GENZ     06AUG2010    -0.03232
 GENZ     06JUL2004     0.03061
 GENZ     07JAN2004    -0.04266
 GENZ     07NOV2005    -0.02263
 GENZ     08AUG2005    -0.01842
 GENZ     09MAR2009     0.02922
 GENZ     09SEP2002     0.01439
 GENZ     09MAY2006    -0.03097
 GENZ     09NOV2005     0.00553
 GENZ     10JAN2003     0.07975
 GENZ     12JUN2006     0.05264
 GENZ     13MAY2008     0.00840
 GENZ     15SEP2003    -0.02445
 GENZ     14FEB2001     0.02179
 GENZ     15MAR2004    -0.03029
 GENZ     17JAN2003     0.01955
 GENZ     17SEP2009     0.02851
 GENZ     18JUN2008     0.02811
 GENZ     19JUN2002    -0.24002
 GENZ     23DEC2010    -0.01246
 GENZ     23SEP2002     0.02347
 GENZ     24FEB2005    -0.00020
 GENZ     24MAY2005    -0.01904
 GENZ     25APR2001    -0.00035
 GENZ     25MAR2010    -0.03576
 GENZ     25SEP2002    -0.00893
 GENZ     27SEP2007    -0.01780
 GENZ     28FEB2005    -0.00371
 GENZ     28JUN2004    -0.00418
 GENZ     30JUL2010    -0.01785
 XOMA     03OCT2003    -0.03225
 XOMA     05MAR2001    -0.07081
 ADPT     09SEP2002    -0.02013
 ADPT     12APR2002     0.06452
 ADPT     12AUG2005     0.01040
 ADPT     14JAN2005    -0.04646
 ADPT     14JUN2004    -0.00750
 ADPT     21APR2005    -0.00087
 NAVG     03APR2006    -0.03860
 NAVG     06MAY2004     0.09554
 NAVG     09FEB2004    -0.01686
 NAVG     13OCT2003     0.00606
 WERN     01DEC2005    -0.01237
 WERN     01JUL2009     0.04530
 WERN     02JUN2008     0.02020
 WERN     01OCT2010    -0.01411
 WERN     03AUG2001     0.00578
 WERN     03FEB2003     0.03645
 WERN     03OCT2007    -0.01355
 WERN     04AUG2008    -0.04240
 WERN     04AUG2011     0.04844
 WERN     04JAN2001     0.13992
 WERN     04MAY2001    -0.04191
 WERN     06AUG2007     0.00228
 WERN     05JAN2011     0.02420
 WERN     05OCT2007     0.00761
 WERN     06MAY2004    -0.00303
 WERN     08JUN2005    -0.03374
 WERN     09SEP2002     0.00913
 WERN     08SEP2004     0.00180
 WERN     09JUL2007     0.02058
 WERN     09SEP2003     0.03497
 WERN     10JUL2001     0.04494
 WERN     11DEC2001    -0.03415
 WERN     11JAN2011    -0.00369
 WERN     11JUL2007     0.02313
 WERN     11OCT2001     0.05817
 WERN     12JAN2010     0.03907
 WERN     12JUN2009    -0.02433
 WERN     12MAR2008    -0.04004
 WERN     12OCT2006    -0.04676
 WERN     12SEP2006     0.01381
 WERN     12SEP2014     0.02350
 WERN     15SEP2003    -0.00688
 WERN     14JAN2008     0.02991
 WERN     14JAN2013    -0.00502
 WERN     14SEP2012    -0.08902
 WERN     15AUG2014    -0.01296
 WERN     15NOV2013     0.01160
 WERN     15OCT2004     0.08661
 WERN     16APR2003     0.02189
 WERN     16JUL2004    -0.02576
 WERN     16MAY2008    -0.01530
 WERN     17OCT2006    -0.10129
 WERN     18JUL2003     0.00989
 WERN     18JUL2008     0.07077
 WERN     18OCT2001     0.01772
 WERN     18OCT2013    -0.00656
 WERN     20MAR2002    -0.04906
 WERN     20MAR2007     0.01518
 WERN     20OCT2011    -0.00099
 WERN     21JAN2014     0.04987
 WERN     24MAR2004     0.04281
 WERN     27JUL2012     0.02192
 WERN     27MAR2009    -0.00448
 WERN     27OCT2003     0.00061
 WERN     27SEP2010    -0.01314
 T        01FEB2005     0.00555
 T        02APR2003    -0.10459
 T        02FEB2005     0.02722
 T        02JAN2002     0.00925
 T        03JAN2002    -0.03546
 T        05AUG2002    -0.00117
 T        04JAN2001    -0.01132
 T        04OCT2004     0.06257
 T        06SEP2002     0.01181
 T        07JUL2005    -0.00386
 T        07NOV2003     0.00169
 T        09SEP2002     0.03649
 T        10JAN2003    -0.04808
 T        12APR2004    -0.00049
 T        12DEC2002     0.00217
 T        12JAN2001     0.01192
 T        15SEP2003     0.01441
 T        15APR2003    -0.01756
 T        15DEC2003    -0.02415
 T        15SEP2005     0.02002
 T        17AUG2001     0.03227
 T        17JUN2003    -0.01923
 T        18SEP2002     0.01679
 T        19JAN2005    -0.02053
 T        19MAY2004     0.01797
 T        19NOV2001    -0.00457
 T        19NOV2002    -0.00983
 T        20AUG2002     0.07664
 T        20DEC2001     0.06320
 T        20FEB2003     0.00184
 T        21OCT2002    -0.03398
 T        22SEP2004    -0.00489
 T        23APR2003     0.20443
 T        23JAN2003    -0.19260
 T        23JAN2004    -0.00593
 T        24APR2003    -0.00269
 T        24AUG2005    -0.01269
 T        24FEB2004     0.03223
 T        24JAN2001     0.06344
 T        24JAN2002    -0.01018
 T        24JAN2003    -0.00777
 T        24JUN2004    -0.09094
 T        24OCT2001    -0.06107
 T        24OCT2003     0.02532
 T        24SEP2003     0.00994
 T        25APR2002    -0.01567
 T        25SEP2002     0.02774
 T        27JAN2003    -0.05345
 T        27JUL2004     0.01279
 T        27MAR2002     0.00019
 T        28JUL2003     0.07643
 T        30JAN2002    -0.02074
 T        30JUN2003    -0.01348
 T        30MAY2002     0.00099
 T        30OCT2002    -0.02576
 T        31JAN2005    -0.04854
 SKYW     01AUG2002    -0.01055
 SKYW     02JUN2010    -0.05461
 SKYW     02MAY2012     0.04754
 SKYW     02NOV2001     0.02799
 SKYW     03AUG2011     0.06384
 SKYW     04AUG2011     0.04428
 SKYW     04JAN2001    -0.02048
 SKYW     04NOV2002     0.07868
 SKYW     04OCT2001    -0.03087
 SKYW     07MAR2011     0.06670
 SKYW     08APR2005     0.00460
 SKYW     09APR2002    -0.02021
 SKYW     09JAN2014    -0.04534
 SKYW     10OCT2012    -0.04369
 SKYW     14AUG2012     0.01372
 SKYW     14OCT2002     0.07899
 SKYW     15NOV2002    -0.05664
 SKYW     15NOV2004    -0.00500
 SKYW     15NOV2007    -0.04888
 SKYW     15OCT2003    -0.03171
 SKYW     16JUL2001     0.02230
 SKYW     18JUL2011    -0.15813
 SKYW     20MAY2002    -0.01658
 SKYW     20MAY2004     0.00692
 SKYW     21APR2003    -0.03777
 SKYW     21SEP2001     0.19977
 SKYW     21SEP2005     0.02915
 SKYW     27SEP2004     0.06161
 SKYW     28APR2003     0.03132
 SKYW     28JAN2002    -0.00540
 SKYW     28JUN2007    -0.03734
 SKYW     31OCT2002    -0.02433
 AMWD     17MAY2012     0.05237
 TWMC     04NOV2002    -0.05301
 TWMC     04OCT2006    -0.00946
 TWMC     05MAR2001     0.00463
 TWMC     08JAN2007    -0.06451
 TWMC     08NOV2004     0.00658
 TWMC     09SEP2002     0.04704
 TWMC     09SEP2003    -0.00639
 TWMC     10JUN2003    -0.01450
 TWMC     10MAY2002     0.04061
 TWMC     30JAN2003    -0.04800
 ADM      01AUG2005    -0.04836
 ADM      01FEB2006    -0.03369
 ADM      03SEP2003    -0.05393
